Section,Short_Title,Content
มาตรา 104,มาตราความผิดทางอาญา,ผู้ใดพยายามกระทำความผิดลหุโทษ ผู้นั้นไม่ต้องรับโทษ
มาตรา 105,มาตราความผิดทางอาญา,ผู้ใดเป็นผู้สนับสนุนในความผิดลหุโทษ ผู้นั้นไม่ต้องรับโทษ
มาตรา 106,มาตราความผิดทางอาญา,ผู้ใดใช้ให้กระทำความผิดลหุโทษ หรือผู้สนับสนุนในการกระทำความผิดลหุโทษ ต้องรับโทษเสมือนเป็นตัวการต่อเมื่อความผิดนั้นได้กระทำลงสำเร็จแล้ว
มาตรา 107,ความผิดต่อองค์พระมหากษัตริย์และพระบรมวงศานุวงศ์,ผู้ใดปลงพระชนม์พระมหากษัตริย์ ต้องระวางโทษประหารชีวิต ผู้ใดพยายามกระทำความผิดตามวรรคแรก ต้องระวางโทษประหารชีวิต ผู้ใดตระเตรียมการเพื่อกระทำความผิดตามวรรคแรก หรือรู้ว่ามีผู้จะปลงพระชนม์พระมหากษัตริย์ กระทำการใดๆ อันเป็นการช่วยปกปิดไว้ ต้องระวางโทษจำคุกตลอดชีวิต
มาตรา 108,ความผิดต่อองค์พระมหากษัตริย์และพระบรมวงศานุวงศ์,ผู้ใดกระทำการประทุษร้ายต่อพระองค์ หรือเสรีภาพของพระมหากษัตริย์ ต้องระวางโทษประหารชีวิตหรือจำคุกตลอดชีวิต ผู้ใดพยายามกระทำความผิดตามวรรคแรก ต้องระวางโทษเช่นเดียวกัน ผู้ใดตระเตรียมการเพื่อกระทำความผิดตามวรรคแรก หรือรู้ว่ามีผู้จะกระทำการประทุษร้ายต่อพระองค์หรือเสรีภาพของพระมหากษัตริย์ กระทำการใดๆ อันเป็นการช่วยปกปิดไว้ ต้องระวางโทษจำคุกตั้งแต่สิบหกปีถึงยี่สิบปี ถ้าการกระทำตามวรรคแรกหรือวรรคสองเป็นการกระทำอันน่าจะเกิดอันตรายแก่พระชนม์ ผู้กระทำต้องระวางโทษประหารชีวิต
มาตรา 109,ความผิดต่อองค์พระมหากษัตริย์และพระบรมวงศานุวงศ์,ผู้ใดปลงพระชนม์พระราชินีหรือรัชทายาท หรือฆ่าผู้สำเร็จราชการแทนองค์พระองค์ ต้องระวางโทษประหารชีวิต ผู้ใดพยายามกระทำความผิดตามวรรคแรก ต้องระวางโทษประหารชีวิต ผู้ใดตระเตรียมการเพื่อกระทำความผิดตามวรรคแรก หรือรู้ว่ามีผู้จะกระทำการดังกล่าว กระทำการใดๆ อันเป็นการช่วยปกปิดไว้ ต้องระวางโทษจำคุกตั้งแต่สิบสองปีถึงยี่สิบปี
มาตรา 110,ความผิดต่อองค์พระมหากษัตริย์และพระบรมวงศานุวงศ์,ผู้ใดกระทำการประทุษร้ายต่อพระองค์ หรือเสรีภาพของพระราชินีหรือรัชทายาท หรือประทุษร้ายต่อร่างกายหรือเสรีภาพของผู้สำเร็จราชการแทนองค์พระองค์ ต้องระวางโทษจำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบหกปีถึงยี่สิบปี ผู้ใดพยายามกระทำความผิดตามวรรคแรก ต้องระวางโทษเช่นเดียวกัน ผู้ใดตระเตรียมการเพื่อกระทำความผิดตามวรรคแรก หรือรู้ว่ามีผู้จะกระทำการดังกล่าว กระทำการใดๆ อันเป็นการช่วยปกปิดไว้ ต้องระวางโทษจำคุกตั้งแต่สิบปีถึงยี่สิบปี ถ้าการกระทำตามวรรคแรกหรือวรรคสองเป็นการกระทำอันน่าจะเกิดอันตรายแก่พระชนม์หรือชีวิต ผู้กระทำต้องระวางโทษประหารชีวิต
มาตรา 111,มาตราความผิดทางอาญา,ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตามมาตรา 107 ถึงมาตรา 110 ต้องระวางโทษเช่นเดียวกับตัวการในความผิดนั้นๆ
มาตรา 112,ความผิดต่อองค์พระมหากษัตริย์และพระบรมวงศานุวงศ์,ผู้ใดหมิ่นประมาท ดูหมิ่น หรือแสดงความอาฆาตมาดร้ายพระมหากษัตริย์ พระราชินี รัชทายาท หรือผู้สำเร็จราชการแทนองค์ ต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบห้าปี
มาตรา 113,มาตราความผิดทางอาญา,ผู้ใดใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย เพื่อ (1) ล้มล้างหรือเปลี่ยนแปลงรัฐธรรมนูญ (2) ล้มล้างอำนาจนิติบัญญัติ อำนาจบริหาร หรืออำนาจตุลาการแห่งรัฐธรรมนูญ หรือแบ่งแยกราชอาณาจักรหรือยึดอำนาจปกครองในส่วนหนึ่งส่วนใดแห่งราชอาณาจักร ผู้นั้นกระทำความผิดฐานเป็นกบฏ ต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
มาตรา 114,มาตราความผิดทางอาญา,ผู้ใดสะสมกำลังพลหรืออาวุธ ตระเตรียมการอื่นใด หรือสมคบกันเพื่อเป็นกบฏ หรือผู้ใดกระทำการใดๆ อันเป็นอุบายเพื่อเป็นกบฏ หรือยุยงราษฎรให้เป็นกบฏ หรือรู้ว่ามีผู้จะเป็นกบฏและช่วยปกปิดไว้ ต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบห้าปี
มาตรา 115,มาตราความผิดทางอาญา,ผู้ใดเสี้ยมสอนให้อาสาสมัครทหาร ทหาร หรือตำรวจ ละเลยไม่ปฏิบัติการตามหน้าที่ หรือให้ละเมิดวินัยทหารหรือตำรวจ หรือให้ก่อการทรยศ ต้องระวางโทษจำคุกไม่เกินห้าปี ถ้าความผิดนั้นได้กระทำลงโดยมุ่งหมายจะก่อให้เกิดกบฏ หรือเพื่อประโยชน์ของกำลังรบต่างชาติ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี
มาตรา 116,มาตราความผิดทางอาญา,ผู้ใดกระทำให้ปรากฏแก่ประชาชนด้วยวาจา หนังสือ หรือวิธีอื่นใดอันมิใช่เป็นการกระทำภายในความมุ่งหมายแห่งรัฐธรรมนูญ หรือมิใช่เพื่อแสดงความคิดเห็นหรือติชมโดยสุจริต (1) เพื่อให้เกิดการเปลี่ยนแปลงในกฎหมายแผ่นดินหรือรัฐบาล โดยใช้กำลังข่มขืนใจหรือใช้กำลังประทุษร้าย (2) เพื่อให้เกิดความปั่นป่วนหรือกระด้างกระเดื่องในหมู่ประชาชนถึงขนาดที่จะก่อความไม่สงบขึ้นในราชอาณาจักร หรือ (3) เพื่อให้ประชาชนล่วงละเมิดกฎหมายแผ่นดิน ต้องระวางโทษจำคุกไม่เกินเจ็ดปี
มาตรา 117,มาตราความผิดทางอาญา,ผู้ใดจูงใจหรือยุยงประชาชนให้ร่วมกันหยุดงาน นัดหยุดงาน ปิดงานงดจ้าง หรือร่วมกันไม่ยอมค้าขายหรือติดต่อทางธุรกิจกับบุคคลใดๆ เพื่อให้เกิดการเปลี่ยนแปลงในกฎหมายแผ่นดิน เพื่อข่มขืนใจรัฐบาล หรือเพื่อทำลายระเบียบเศรษฐกิจและการขนส่ง ต้องระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกินหนึ่งแสนสี่หมื่นบาท หรือทั้งจำทั้งปรับ ผู้ใดทราบความมุ่งหมายดังกล่าวและเข้ามีส่วนร่วมในการหยุดงาน นัดหยุดงาน ปิดงานงดจ้าง หรือไม่ยอมค้าขายหรือติดต่อทางธุรกิจกับบุคคลใดๆ นั้น ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกิน六หมื่นบาท หรือทั้งจำทั้งปรับ ผู้ใดเป็นผู้จัดการหรือหัวหน้าในการกระทำความผิดตามวรรคแรกหรือวรรคสอง ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
มาตรา 118,มาตราความผิดทางอาญา,ผู้ใดกระทำการใดๆ ต่อธงชาติหรือเครื่องหมายอื่นใดอันมีความหมายถึงรัฐ เพื่อเหยียดหยามประเทศชาติ ต้องระวางโทษจำคุกไม่เกินสองปี หรือปรับไม่เกินสี่หมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 119,มาตราความผิดทางอาญา,ผู้ใดกระทำการใดๆ เพื่อให้ราชอาณาจักรหรือส่วนหนึ่งส่วนใดตกไปอยู่ใต้เอกราชของต่างประเทศ หรือเพื่อให้เอกราชของรัฐเสื่อมเสียไป ต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
มาตรา 120,มาตราความผิดทางอาญา,ผู้ใดคบคิดกับบุคคลผู้กระทำการเพื่อประโยชน์ของรัฐต่างประเทศ โดยมุ่งหมายจะก่อให้เกิดสงครามหรือการรบพุ่งต่อราชอาณาจักร หรือกระทำการอื่นใดอันเป็นการช่วยเหลือในทางใดๆ แก่รัฐต่างประเทศในการรบพุ่งต่อราชอาณาจักร ต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
มาตรา 121,มาตราความผิดทางอาญา,คนไทยผู้ใดเข้าส่วนในกำลังรบของต่างประเทศที่ทำสงครามหรือรบพุ่งต่อราชอาณาจักร ต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
มาตรา 122,มาตราความผิดทางอาญา,ผู้ใดกระทำการใดๆ อันเป็นการช่วยเหลือหรือให้ความสะดวกแก่กำลังรบต่างประเทศที่ทำสงครามหรือรบพุ่งต่อราชอาณาจักร ต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
มาตรา 123,มาตราความผิดทางอาญา,ผู้ใดกระทำการใดๆ เพื่อประโยชน์ของรัฐต่างประเทศที่ทำสงครามหรือรบพุ่งต่อราชอาณาจักร โดยมุ่งหมายจะทำให้การป้องกันราชอาณาจักรเสื่อมเสียไป ต้องระวางโทษจำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบปีถึงยี่สิบปี
มาตรา 124,มาตราความผิดทางอาญา,ผู้ใดกระทำการใดๆ เพื่อให้ได้มาซึ่งข้อความ ผัง แบบ หรือข้อมูลใดๆ ที่ปกปิดไว้เป็นความลับสำหรับความมั่นคงของราชอาณาจักร ต้องระวางโทษจำคุกไม่เกินสิบปี ถ้าความผิดนั้นได้กระทำในระหว่างทำสงครามหรือรบพุ่ง หรือเพื่อประโยชน์ของกำลังรบต่างชาติ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี
มาตรา 125,มาตราความผิดทางอาญา,ผู้ใดปลอมแปลง แปลง หรือทำลายข้อความ ผัง แบบ หรือข้อมูลใดๆ ที่เกี่ยวกับความมั่นคงของราชอาณาจักร ต้องระวางโทษจำคุกไม่เกินสิบปี ถ้าความผิดนั้นได้กระทำในระหว่างทำสงครามหรือรบพุ่ง หรือเพื่อประโยชน์ของกำลังรบต่างชาติ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี
มาตรา 126,มาตราความผิดทางอาญา,ผู้ใดเปิดเผยข้อความ ผัง แบบ หรือข้อมูลใดๆ ที่ปกปิดไว้เป็นความลับสำหรับความมั่นคงของราชอาณาจักร ต้องระวางโทษจำคุกไม่เกินสิบปี ถ้าความผิดนั้นได้กระทำในระหว่างทำสงครามหรือรบพุ่ง หรือเพื่อประโยชน์ของกำลังรบต่างชาติ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี
มาตรา 127,มาตราความผิดทางอาญา,ผู้ใดทำลาย ซ่อนเร้น ทำให้สูญหาย หรือทำให้ใช้การไม่ได้ซึ่งเอกสารหรือวัตถุใดๆ อันเป็นหลักฐานเกี่ยวกับข้อตกลงหรือความสัมพันธ์ระหว่างประเทศ เพื่อก่อให้เกิดผลร้ายแก่ราชอาณาจักร ต้องระวางโทษจำคุกไม่เกินสิบปี
มาตรา 128,มาตราความผิดทางอาญา,ผู้ใดตระเตรียมการเพื่อกระทำความผิดตามมาตรา 119 ถึงมาตรา 127 ต้องระวางโทษจำคุกตั้งแต่สองปีถึงสิบปี
มาตรา 129,มาตราความผิดทางอาญา,ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตามมาตรา 119 ถึงมาตรา 127 ต้องระวางโทษเช่นเดียวกับตัวการในความผิดนั้นๆ
มาตรา 130,มาตราความผิดทางอาญา,ผู้ใดทำร้าย ทำลาย หรือเหยียดหยามผู้แทนของรัฐต่างประเทศซึ่งได้รับแต่งตั้งมายังราชอาณาจักร ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
มาตรา 131,มาตราความผิดทางอาญา,ผู้ใดทำลาย ซ่อนเร้น หรือทำให้สูญหายซึ่งเอกสารหรือวัตถุใดๆ อันเกี่ยวข้องกับสิทธิของรัฐต่างประเทศ เพื่อก่อให้เกิดผลร้ายแก่รัฐต่างประเทศนั้น ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
มาตรา 132,มาตราความผิดทางอาญา,ผู้ใดกระทำการใดๆ ต่อธงหรือเครื่องหมายอื่นใดอันมีความหมายถึงรัฐต่างประเทศซึ่งมีสัมพันธไมตรีกับราชอาณาจักร เพื่อเหยียดหยามรัฐต่างประเทศนั้น ต้องระวางโทษจำคุกไม่เกินสองปี หรือปรับไม่เกินสี่หมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 133,ความผิดต่อองค์พระมหากษัตริย์และพระบรมวงศานุวงศ์,ผู้ใดหมิ่นประมาท ดูหมิ่น หรือแสดงความอาฆาตมาดร้ายราชาธิบดี ราชินี ราชสามี รัชทายาท หรือประมุขแห่งรัฐต่างประเทศ ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงเจ็ดปี หรือปรับไม่เกินสองหมื่นบาทถึงหนึ่งแสนสี่หมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 134,ความผิดฐานหมิ่นประมาท,ผู้ใดหมิ่นประมาท ดูหมิ่น หรือแสดงความอาฆาตมาดร้ายผู้แทนรัฐต่างประเทศซึ่งได้รับแต่งตั้งมายังราชอาณาจักร ต้องระวางโทษจำคุกตั้งแต่หกเดือนถึงห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาทถึงหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
มาตรา 135,มาตราความผิดทางอาญา,ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตามมาตรา 130 ถึงมาตรา 134 ต้องระวางโทษสองในสามส่วนของโทษที่กำหนดไว้สำหรับความผิดนั้น
มาตรา 135/1,ความผิดฐานก่อการร้าย,ผู้ใดกระทำการอันเป็นความผิดอาญาที่ก่อให้เกิดภยันตรายร้ายแรงต่อชีวิต ร่างกาย หรือเสรีภาพของบุคคล หรือสร้างความเสียหายร้ายแรงต่อระบบขนส่งสาธารณะ ระบบโทรคมนาคม หรือโครงสร้างพื้นฐานอันเป็นประโยชน์สาธารณะ โดยมีความมุ่งหมายเพื่อขู่เข็ญหรือบังคับรัฐบาลไทย รัฐบาลต่างประเทศ หรือองค์การระหว่างประเทศ หรือเพื่อสร้างความปั่นป่วนโดยให้เกิดความกลัวในหมู่ประชาชน ผู้นั้นกระทำความผิดฐานก่อการร้าย ต้องระวางโทษประหารชีวิต จำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี และปรับตั้งแต่หกแสนบาทถึงหนึ่งล้านบาท
มาตรา 135/2,ความผิดฐานก่อการร้าย,ผู้ใดขู่เข็ญว่าจะกระทำการก่อการร้าย โดยมีพฤติการณ์อันควรเชื่อได้ว่าผู้นั้นจะกระทำการตามที่ขู่เข็ญจริง ต้องระวางโทษจำคุกตั้งแต่สองปีถึงสิบปี และปรับตั้งแต่แปดหมื่นบาทถึงสี่แสนบาท ผู้ใดสะสมกำลังพลหรืออาวุธ จัดหาหรือรวบรวมทรัพย์สิน ให้การฝึกการก่อการร้าย จัดเตรียมอุบาย หรือสมคบกันเพื่อก่อการร้าย หรือกระทำการใดๆ อันเป็นส่วนหนึ่งของแผนการก่อการร้าย หรือยุยงราษฎรให้เข้ามีส่วนในการก่อการร้าย หรือรู้ว่ามีผู้จะก่อการร้ายและช่วยปกปิดไว้ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่สองแสนบาทถึงแปดแสนบาท
มาตรา 135/3,มาตราความผิดทางอาญา,ผู้ใดเป็นผู้ขัดขวาง ให้ความสะดวก หรือให้การช่วยเหลือในการกระทำความผิดตามมาตรา 135/1 หรือมาตรา 135/2 ต้องระวางโทษเช่นเดียวกับตัวการในความผิดนั้นๆ
มาตรา 135/4,ความผิดฐานก่อการร้าย,ผู้ใดเป็นสมาชิกของคณะบุคคลหรือสมาคมที่มีวัตถุประสงค์เพื่อการก่อการร้าย หรือเข้ามีส่วนร่วมในคณะบุคคลหรือสมาคมดังกล่าว ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงเจ็ดปี และปรับตั้งแต่สองหมื่นบาทถึงหนึ่งแสนสี่หมื่นบาท
มาตรา 136,ความผิดต่อเจ้าพนักงาน,ผู้ใดดูหมิ่นเจ้าพนักงานซึ่งกระทำการตามหน้าที่ หรือเพราะได้กระทำการตามหน้าที่ ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองหมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 137,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดแจ้งข้อความอันเป็นเท็จแก่เจ้าพนักงาน ซึ่งอาจทำให้ผู้อื่นหรือประชาชนเสียหาย ต้องระวางโทษจำคุกไม่เกินหกเดือน หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 138,ความผิดต่อเจ้าพนักงาน,ผู้ใดต่อสู้ หรือขัดขวางเจ้าพนักงานหรือผู้ซึ่งต้องช่วยเจ้าพนักงานตามกฎหมายในการปฏิบัติการตามหน้าที่ ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองหมื่นบาท หรือทั้งจำทั้งปรับ ถ้าการต่อสู้หรือขัดขวางนั้น ได้กระทำโดยใช้กำลังประทุษร้ายหรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย ผู้กระทำต้องระวางโทษจำคุกไม่เกินสองปี หรือปรับไม่เกินสี่หมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 139,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดข่มขืนใจเจ้าพนักงานให้ปฏิบัติการอันมิชอบด้วยหน้าที่ หรือให้ละเว้นการปฏิบัติการตามหน้าที่โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกหมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 140,ความผิดฐานอั้งยี่,ถ้าการกระทำความผิดตามมาตรา 138 วรรคสอง หรือมาตรา 139 ได้กระทำโดยมีหรือใช้อาวุธ หรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สามคนขึ้นไป ผู้กระทำต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ ถ้ากระทำโดยอ้างอำนาจอั้งยี่หรือซ่องโจร ไม่ว่าอั้งยี่หรือซ่องโจรนั้นจะมีอยู่หรือไม่ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงเจ็ดปี และปรับตั้งแต่สองหมื่นบาทถึงหนึ่งแสนสี่หมื่นบาท ถ้าการกระทำความผิดตามมาตรานี้ได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด ผู้กระทำต้องระวางโทษหนักกว่าที่กฎหมายบัญญัติไว้ในสองวรรคก่อนกึ่งหนึ่ง
มาตรา 141,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดถอน ทำให้เสียหาย ทำลายหรือทำให้ไร้ประโยชน์ซึ่งตราหรือเครื่องหมายอันเจ้าพนักงานได้ประทับหรือหมายไว้ที่สิ่งใดๆ ในการปฏิบัติการตามหน้าที่ เพื่อเป็นหลักฐานในการยึด อายัด หรือเพื่อการใดๆ ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกหมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 142,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดทำให้เสียหาย ทำลาย ซ่อนเร้น เอาไปเสีย หรือทำให้สูญหายหรือไร้ประโยชน์ซึ่งทรัพย์สินหรือเอกสารใดๆ อันเจ้าพนักงานได้ยึด รักษาไว้ หรือสั่งให้ส่งเพื่อเป็นพยานหลักฐาน หรือเพื่อบังคับการให้เป็นไปตามกฎหมาย ไม่ว่าเจ้าพนักงานจะรักษาทรัพย์หรือเอกสารนั้นไว้เอง หรือสั่งให้ผู้นั้นหรือผู้อื่นรักษาไว้ก็ตาม ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกหมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 143,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดเรียก รับหรือยอมจะรับทรัพย์สิน หรือประโยชน์อื่นใดสำหรับตนเองหรือผู้อื่น เป็นการตอบแทนในการที่จะจูงใจหรือได้จูงใจเจ้าพนักงาน สมาชิกสภานิติบัญญัติแห่งรัฐ สมาชิกสภาจังหวัดหรือสมาชิกสภาเทศบาล โดยวิธีอันทุจริตหรือผิดกฎหมายหรือโดยอิทธิพลของตนให้กระทำการหรือไม่กระทำการในหน้าที่อันเป็นคุณหรือเป็นโทษแก่บุคคลใด ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
มาตรา 144,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดให้ ขอให้ หรือรับว่าจะให้ทรัพย์สินหรือประโยชน์อื่นใดแก่เจ้าพนักงาน สมาชิกสภานิติบัญญัติแห่งรัฐ สมาชิกสภาจังหวัดหรือสมาชิกสภาเทศบาล เพื่อจูงใจให้กระทำการ ไม่กระทำการ หรือประวิงการกระทำอันมิชอบด้วยหน้าที่ ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ
มาตรา 145,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดแสดงตนเป็นเจ้าพนักงาน และกระทำการเป็นเจ้าพนักงาน โดยตนเองไม่ได้เป็นเจ้าพนักงานที่มีอำนาจกระทำการนั้น ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองหมื่นบาท หรือทั้งจำทั้งปรับ เจ้าพนักงานผู้ใดได้รับคำสั่งมิให้ปฏิบัติหน้าที่ต่อไปแล้ว ยังฝ่าฝืนกระทำการใดๆ ในตำแหน่งหน้าที่นั้น ต้องระวางโทษเช่นเดียวกัน
มาตรา 146,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดไม่มีสิทธิที่จะสวมเครื่องแบบหรือประดับเครื่องหมายของเจ้าพนักงาน สมาชิกสภานิติบัญญัติแห่งรัฐ สมาชิกสภาจังหวัดหรือสมาชิกสภาเทศบาล หรือไม่มีสิทธิใช้ยศ รายชื่อ บรรดาศักดิ์หรือเครื่องราชอิสริยาภรณ์ กระทำการเช่นนั้นเพื่อให้บุคคลอื่นเชื่อว่าตนมีสิทธิ ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองหมื่นบาท หรือทั้งจำทั้งปรับ
มาตรา 147,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่ซื้อ ทำ จัดการหรือรักษาทรัพย์ใด เบียดบังทรัพย์นั้นเป็นของตนหรือเป็นของผู้อื่นโดยทุจริต หรือทุจริตยอมให้ผู้อื่นเอาทรัพย์นั้นไปเสีย ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี หรือจำคุกตลอดชีวิต และปรับตั้งแต่หนึ่งแสนบาทถึงสี่แสนบาท
มาตรา 148,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดเป็นเจ้าพนักงาน ใช้อำนาจในตำแหน่งโดยมิชอบ ข่มขืนใจหรือจูงใจเพื่อให้บุคคลใดมอบให้หรือหามาให้ซึ่งทรัพย์สินหรือประโยชน์อื่นใดแก่ตนเองหรือผู้อื่น ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี หรือจำคุกตลอดชีวิต และปรับตั้งแต่หนึ่งแสนบาทถึงสี่แสนบาท หรือประหารชีวิต
มาตรา 149,ความผิดต่อเจ้าพนักงาน,ผู้ใดเป็นเจ้าพนักงาน สมาชิกสภานิติบัญญัติแห่งรัฐ สมาชิกสภาจังหวัด หรือสมาชิกสภาเทศบาล เรียก รับ หรือยอมจะรับทรัพย์สินหรือประโยชน์อื่นใดสำหรับตนเองหรือผู้อื่นโดยมิชอบ เพื่อกระทำการหรือไม่กระทำการอย่างใดในตำแหน่ง ไม่ว่าการนั้นจะชอบหรือมิชอบด้วยหน้าที่ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี หรือจำคุกตลอดชีวิต และปรับตั้งแต่หนึ่งแสนบาทถึงสี่แสนบาท หรือประหารชีวิต
มาตรา 150,ความผิดต่อเจ้าพนักงาน,ผู้ใดเป็นเจ้าพนักงาน กระทำการหรือไม่กระทำการอย่างใดในตำแหน่ง โดยเห็นแก่ทรัพย์สินหรือประโยชน์อื่นใด ซึ่งตนได้เรียก รับ หรือยอมจะรับไว้ก่อนที่ตนได้รับแต่งตั้งเป็นเจ้าพนักงานในตำแหน่งนั้น ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี หรือจำคุกตลอดชีวิต และปรับตั้งแต่หนึ่งแสนบาทถึงสี่แสนบาท
มาตรา 151,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่ซื้อ ทำ จัดการหรือรักษาทรัพย์ใดๆ ใช้อำนาจในตำแหน่งโดยทุจริต อันเป็นการเสียหายแก่รัฐ เทศบาล สุขาภิบาลหรือเจ้าของทรัพย์นั้น ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี หรือจำคุกตลอดชีวิต และปรับตั้งแต่หนึ่งแสนบาทถึงสี่แสนบาท
มาตรา 152,ความผิดต่อเจ้าพนักงาน,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่จัดการหรือดูแลกิจการใด เข้ามีส่วนได้เสียเพื่อประโยชน์สำหรับตนเองหรือผู้อื่นเนื่องด้วยกิจการนั้น ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่สองหมื่นบาทถึงสองแสนบาท
